name,album,artists,"""popularity""",disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,track_number
Alea Iacta Est,Parhelion,['Libitina'],0.628062466,1,FALSE,0.361,0.682,11,-4.788,1,0.038,0.054,0.000252,0.093,0.458,100.058,316347,4,2006,1/1/2006,5
Ittefaq,Bas Yun Hi (Original Motion Picture Soundtrack),"['Rajeev, Merlin', 'Mehnaz']",0.453537773,1,FALSE,0.801,0.911,4,-5.288,0,0.0454,0.121,1.54E-05,0.193,0.899,129.993,241013,4,2002,10/18/2002,6
The Stranger,Soul Cal,['C. Henry Woods Troupe'],0.908614117,1,FALSE,0.642,0.849,6,-6.199,0,0.0484,0.0193,0.799,0.0515,0.647,125.695,513307,4,2012,3/27/2012,13
Protocell,Abiogenesis,['Dask'],0.277385891,1,FALSE,0.43,0.0895,5,-30.123,0,0.074,0.866,0.948,0.1,0.0444,120.055,430000,4,2017,1/1/2017,8
Tricked Out,Red Carpet Massacre,['Duran Duran'],0.398313302,1,FALSE,0.548,0.88,7,-8.778,1,0.0355,0.0105,0.574,0.428,0.309,138.98,166427,4,2007,11/19/2007,8
Blank,A Pirate's Christmas Wish,['The Bilge Pumps'],0.161787758,1,FALSE,0,0,0,-60,0,0,0,0,0,0,0,30120,0,2010,10/4/2010,34
is this all I am good for?,Complex,['Montaigne'],0.211371483,1,FALSE,0.393,0.411,0,-6.183,1,0.0627,0.484,0.000107,0.0453,0.526,87.967,306240,3,2019,8/30/2019,11
Two For Juan,Live In Leverkusen,['Billy Cobham'],0.156934103,1,FALSE,0.4,0.72,8,-9.886,1,0.0471,0.00695,0.634,0.698,0.48,113.57,527160,4,2011,12/2/2011,3
Tilflukt,Omen,['Antestor'],0.188679227,1,FALSE,0.328,0.16,10,-16.968,0,0.0353,0.703,0.256,0.0989,0.0407,119.624,222227,4,2012,11/16/2012,8
Freakin' At the Freaker's Ball,Revisited,['Dr. Hook'],0.394187714,1,FALSE,0.702,0.361,9,-15.086,1,0.175,0.395,0,0.145,0.803,127.622,166800,4,1976,1976,3
"Weiße Taube, Paloma - Vaya con Dios",Unsere schönsten Lieder,['Die Flippers'],0.712747434,2,FALSE,0.275,0.544,0,-9.669,1,0.0318,0.218,1.14E-05,0.608,0.475,107.386,188507,3,1994,7/4/1994,15
Storm,Rain,['Laura Bradley'],0.284467665,1,FALSE,0.523,0.626,1,-5.351,1,0.0261,0.11,0,0.0382,0.367,145.938,212893,4,2007,4/10/2007,13
Cumberland Gap,Bluegrass Classic Jams - Power Picks: 30 Instrumental Favorites,['Raymond Fairchild'],0.913131645,1,FALSE,0.451,0.988,3,-5.198,1,0.0465,0.439,0.936,0.36,0.967,151.029,69760,4,2014,3/4/2014,26
Suicidewinder,Blam,['Ridley Bent'],0.412163389,1,FALSE,0.842,0.698,2,-5.791,1,0.183,0.0944,0.00225,0.0903,0.595,89.998,322480,4,2005,2005,4
Scale,Tsunami,"['SwuM', 'shamana']",0.834502123,1,TRUE,0.342,0.733,10,-7.063,0,0.157,0.00388,0.0951,0.198,0.344,85.162,91744,4,2015,10/16/2015,5
Blues Transfused,Tous En Accord,"['Sergiu Popa', 'Jessica Gal', 'Kelly Watling']",0.877744693,1,FALSE,0.277,0.301,7,-13.1,1,0.0423,0.809,0.00755,0.2,0.295,179.798,411800,3,2014,6/17/2014,5
I've Got The World On A String,Spirits of Rhythm 1932-1941,['Spirits of Rhythm'],0.81938743,1,FALSE,0.666,0.265,11,-16.224,1,0.132,0.886,1.29E-06,0.185,0.456,82.06,162747,4,2007,5/29/2007,11
"Piano Trio No. 2 in G Major, Op.1 No. 2 (2001 - Remaster): I. Adagio - Allegro vivace",Beethoven: Piano Trios Opp.1 & 97 'Archduke',"['Pinchas Zukerman', 'Daniel Barenboim', 'Jacqueline du Pré']",0.754878742,1,FALSE,0.426,0.174,7,-18.259,1,0.0405,0.985,0.523,0.0984,0.251,114.54,628960,4,2001,2001,5
Mistakes - Demo,Demos I,['Hippo Campus'],0.398045277,1,TRUE,0.471,0.124,1,-10.143,1,0.0351,0.917,0,0.134,0.162,79.257,149733,3,2019,6/14/2019,1
Happy Birthday,The Night Shift,['Brent Weinbach'],0.243209547,1,FALSE,0.575,0.654,7,-13.323,1,0.942,0.811,7.08E-06,0.954,0.412,77.793,228147,4,2009,9/15/2009,9
When You Can Fly,When You Can Fly,['Victoria Banks'],0.387627759,1,FALSE,0.37,0.798,7,-6.678,1,0.042,0.0057,1.99E-06,0.0868,0.547,160.378,205213,3,2009,4/14/2009,4
For Later Times,Songs From The Long Land,['Paul Needs'],0.199339942,1,FALSE,0.63,0.247,0,-19.238,0,0.909,0.254,0,0.134,0.341,82.896,85747,5,2003,1/1/2003,8
La Mitad,Genesis,['Silica Gel'],0.996670277,1,FALSE,0.642,0.921,3,-6.768,0,0.034,0.0728,0.0135,0.0636,0.59,130.006,247613,4,2006,7/14/2006,2
Conduit: I. Touch,Hand Eye,"['Robert Honstein', 'eighth blackbird']",0.11587209,1,FALSE,0.405,0.35,9,-13.375,0,0.226,0.565,0.000223,0.0358,0.204,79.015,252708,4,2016,4/8/2016,3
Labyrinths,III,['The Alps'],0.53981926,1,FALSE,0.429,0.483,9,-9.557,0,0.0347,0.002,0.693,0.097,0.372,117.899,309693,4,2008,9/29/2008,5
Ole Man Trouble - Remastered Live At The Whisky A Go Go Version,Otis Blue: Otis Redding Sings Soul (Collector's Edition),['Otis Redding'],0.832327033,1,FALSE,0.583,0.53,9,-8.192,1,0.182,0.493,0,0.697,0.571,83.459,235013,4,1965,9/15/1965,18
Evil Calling,Advocatus Diaboli,['The Noctambulant'],0.832670238,1,FALSE,0.335,0.972,9,-5.409,1,0.0825,1.90E-05,0.855,0.0826,0.17,157.999,429517,4,2019,2/20/2019,6
I Don't Wanna Be A…,Weirdon,['Purling Hiss'],0.781338131,1,FALSE,0.396,0.78,2,-5.031,1,0.0323,0.000534,0.901,0.297,0.559,105.678,234253,4,2014,9/23/2014,8
Martha Cecilia,The Future Is Unwritten,['Andres Landeros'],0.156841122,1,FALSE,0.75,0.439,8,-9.605,0,0.662,0.45,0,0.194,0.924,93.456,172227,4,1961,1961,16
In the Distance,"I'm a Rambler, I'm a Fool",['Jay Cobb Anderson'],0.473263078,1,FALSE,0.373,0.94,4,-4.478,0,0.0873,0.00115,3.26E-05,0.365,0.523,121.165,198365,4,2012,11/2/2012,10
"Overture (Suite) in G Major, TWV 55:G10, ""Burlesque de Quixotte"": II. Le Reveil de Quixotte",Telemann: Don Quixote / La Lyra / Ouverture in D Minor,"['Georg Philipp Telemann', 'Northern Chamber Orchestra', 'Nicholas Ward']",0.638971019,1,FALSE,0.321,0.00517,7,-27.437,1,0.046,0.961,0.0112,0.114,0.077,80.573,124920,4,2003,6/13/2003,2
Let's Put It All Together,The Best of The Stylistics,['The Stylistics'],0.200685774,1,FALSE,0.499,0.41,0,-9.29,1,0.0287,0.697,0,0.0854,0.513,132.397,177227,4,1976,10/22/1976,8
Sub Attack,I Got the Bass: The Best of Bass Boy,"['Bass boy', 'Techmaster P.E.B.']",0.930911152,1,FALSE,0.77,0.355,1,-19.652,0,0.0647,0.0635,0.923,0.0784,0.55,99.013,208000,4,2017,3/24/2017,8
2 B U,Horns And Halos,"['Equipto', 'Andre Nickatina']",0.140728698,1,TRUE,0.94,0.626,4,-5.874,0,0.351,0.00618,0,0.17,0.399,108.981,211360,4,2005,5/15/2005,11
I Miss You (feat. Julia Michaels) - Acoustic,I Miss You (feat. Julia Michaels) [Acoustic],"['Clean Bandit', 'Julia Michaels']",0.156894258,1,FALSE,0.556,0.31,3,-9.33,1,0.0302,0.865,0,0.0793,0.492,104.776,216294,4,2017,12/8/2017,1
Ritual Sacrifice,Ritual Sacrifice,['Head On Collision'],0.811432103,1,FALSE,0.241,0.916,2,-4.743,1,0.0783,1.29E-05,0.94,0.187,0.57,128.394,305133,4,2008,5/27/2008,11
Everybody's Talkin',New Non-fiction,['Susan Werner'],0.903189656,1,FALSE,0.582,0.319,5,-9.874,1,0.0306,0.644,0.231,0.158,0.598,95.943,246067,4,2001,2001,7
Moral Dismemberment (Edit),Holy Human Plague,['Netherbound'],0.186992908,1,FALSE,0.595,0.913,6,-7.005,0,0.0482,0.000723,2.77E-06,0.0826,0.273,119.978,339776,4,2015,8/1/2015,12
Train From Wycombe,The Matinee Hit Parade,['The Pines'],0.493916378,1,FALSE,0.546,0.539,4,-10.836,1,0.0316,0.806,0.00138,0.335,0.395,124.8,327013,4,2007,10/30/2007,12
"Les Illuminations, Op. 18: V. Royauté","Britten: Les Illuminations, Variations on a Theme of Frank Bridge, Simple Symphony","['English Chamber Orchestra', 'Elisabeth Söderström']",0.945596637,1,FALSE,0.548,0.0929,9,-20.856,1,0.0633,0.886,0.000179,0.318,0.183,95.648,109707,4,2009,3/25/2009,5
Gimme The World,Death In Soho,['999'],0.141956656,1,FALSE,0.439,0.946,7,-4.59,1,0.0519,0.000203,0.292,0.874,0.319,97.591,142040,4,2007,9/24/2007,1
Twelve Preludes - 11,"Arden, David - Contemporary Piano Music: Piano Music By Part, Gorecki And Ustvolskaya","['Galina Ustvolskaya', 'David Arden']",0.282835369,1,FALSE,0.544,0.0159,1,-32.813,1,0.0958,0.992,0.775,0.0905,0.141,65.344,67507,4,1995,5/23/1995,25
Hold Fast To The Right,The Unbroken Circle: The Musical Heritage of the Carter Family,['June Carter Cash'],0.766523379,1,FALSE,0.475,0.289,7,-11.738,1,0.0306,0.817,0,0.094,0.512,80.91,175440,4,2004,2004,14
Jaime's Song,Terrible Things Happen,['The Aislers Set'],0.230385172,1,FALSE,0.45,0.201,2,-14.662,1,0.0297,0.209,0.0637,0.129,0.444,99.868,243320,4,1998,9/1/1998,13
The Castle,"Greatest Hits, Vol. 1 (Deluxe Edition)",['The Flaming Lips'],0.059962802,1,FALSE,0.475,0.676,2,-8.814,1,0.0558,0.0304,0.414,0.0663,0.362,149.994,290693,4,2018,6/1/2018,35
"Forever, Pt. 1",Wild and Reckless,['Blitzen Trapper'],0.231730821,1,FALSE,0.262,0.329,7,-12.847,1,0.0304,0.967,0.745,0.249,0.173,110.446,55064,5,2017,11/3/2017,3
Intro,Present: A Night of Queen,['The Protomen'],0.507020928,1,FALSE,0.67,0.455,9,-9.285,1,0.549,0.835,0,0.15,0.852,48.688,68453,4,2012,6/5/2012,1
"Mass: No. 26, Offertory (De Profundis, Pt. 2)","Bernstein, L.: Mass","['Leonard Bernstein', 'Mass Text', 'Stephen Schwartz', 'Jubilant Sykes', 'Asher Edward Wulfman', ""Peabody Children's Chorus"", 'Morgan State University Choir', 'Baltimore Symphony Orchestra', 'Marin Alsop']",0.656930853,1,FALSE,0.443,0.439,7,-12.354,1,0.0329,0.764,0.00196,0.044,0.381,134.591,132547,4,2009,8/25/2009,26
"Má vlast, JB 1:112: No. 1. Vysehrad",Smetana: Ma Vlast (My Fatherland),"['Bedřich Smetana', 'Slovak State Philharmonic Orchestra, Kosice', 'Reinhard Seifried']",0.911689829,1,FALSE,0.153,0.084,3,-18.063,1,0.0345,0.959,0.762,0.0976,0.043,92.452,829960,4,1997,6/19/1997,1
Castles - Piano Version,When I'm Alone: The Piano Retrospective,['Lissie'],0.323237665,1,FALSE,0.604,0.186,4,-10.279,1,0.0363,0.958,2.12E-05,0.305,0.595,116.022,234699,4,2019,4/5/2019,4
Señorita Margarita,The Odyssey,['Kallidad'],0.723162773,1,FALSE,0.671,0.627,4,-10.961,0,0.079,0.291,0.969,0.363,0.263,112.409,192625,4,2017,5/9/2017,3
Kissing You (Re-Recorded),Songs of the 90's,['Keith Washington'],0.769588413,1,FALSE,0.248,0.475,7,-7.27,1,0.0348,0.492,0,0.0706,0.329,57.008,293500,4,2014,3/15/2014,23
Yurtsuz,Uprooted,['Minor Empire'],0.494969068,1,FALSE,0.729,0.34,4,-15.393,0,0.0538,0.769,0.211,0.127,0.501,106.978,378787,4,2017,10/26/2017,2
Eugenia's Waltz,Dance,['Lissa Schneckenburger'],0.805606001,1,FALSE,0.415,0.263,9,-7.441,1,0.0342,0.861,0.0551,0.0762,0.209,119.382,252507,3,2010,6/1/2010,5
Knowin' My Love's Alive,Don't Cry Out Loud,['Melissa Manchester'],0.994607038,1,FALSE,0.615,0.624,6,-12.678,0,0.0374,0.407,6.61E-05,0.517,0.794,133.452,240080,4,1978,1978,9
Crasher-Vania,Starbomb,['Starbomb'],0.632767381,1,TRUE,0.702,0.935,3,-5.091,0,0.289,0.342,0,0.128,0.872,79.982,143197,4,2013,12/13/2013,7
Billy Boy,Drew's Famous 100 Greatest Kid's Songs!,['The Hit Crew'],0.660884478,1,FALSE,0.83,0.571,1,-4.66,1,0.0387,0.107,0,0.168,0.908,120.046,91000,4,2007,7/26/2007,9
Baby Valentine,All In,['Sena Ehrhardt'],0.100823593,1,FALSE,0.719,0.691,9,-4.805,0,0.0263,0.654,0,0.195,0.802,111.019,219653,3,2013,3/12/2013,9
Beser in troym tsurik: Better go back in the dream,Cabaret Warsaw: Yiddish & Polish Hits of the 1920s - 1930s,['Mappamundi'],0.387914361,1,FALSE,0.403,0.242,2,-11.112,0,0.0313,0.929,3.04E-06,0.245,0.258,125.245,182753,4,2012,2012,18
Dull Boy,"By The People, For The People",['Mudvayne'],0.631947608,1,FALSE,0.598,0.953,2,-4.487,0,0.193,0.00148,2.30E-06,0.23,0.312,142.97,255320,4,2007,11/23/2007,7
Gloria laus,"Choral Concert: Oxford Girls' Choir - Fayrfax, R. / Redford, J. / Henry V / Lambe, W. / Taverner, J. / Preston, T. (Heavenly Voices)","['Anonymous', ""Oxford Girls' Choir"", 'Magdala', 'David Skinner']",0.278937048,1,FALSE,0.221,0.0566,9,-24.522,0,0.0459,0.99,0,0.308,0.0847,136.649,200320,3,2007,1/1/2007,4
Voy A Cambiar De Rumbo,Puro Cuate !!! Vol 3,['Los Cuates de Sinaloa'],0.308486726,1,FALSE,0.532,0.55,7,-7.722,1,0.0421,0.207,0.000155,0.152,0.523,174.895,180640,3,2004,11/2/2004,13
Waves,Northern Shore,['Skydiggers'],0.453338286,1,FALSE,0.512,0.29,9,-10.898,1,0.0287,0.035,0.00501,0.0912,0.417,131.873,169600,3,2012,4/17/2012,1
Flame On,Plastic Silver 9-Volt Heart,['The Iguanas'],0.524333538,1,FALSE,0.63,0.904,5,-6.797,1,0.0314,0.148,0.000236,0.259,0.658,126.921,243293,4,2003,3/25/2003,4
Passerby,Between,['James Kinne'],0.7679383,1,FALSE,0.679,0.544,4,-7.435,1,0.0348,0.249,0,0.334,0.783,137.995,223600,4,2002,2002,4
Off at 11,Off at 11,['J.D. Simo'],0.07837696,1,FALSE,0.279,0.864,0,-7.493,1,0.0455,2.30E-05,0.811,0.11,0.663,106.37,324101,3,2019,3/1/2019,2
Dark Verses,Dark Verses,['Darkcell'],0.506445563,1,TRUE,0.278,0.941,1,-1.582,1,0.131,0.0157,0,0.0799,0.313,137.955,318851,4,2013,9/27/2013,1
My Pleasure House - Pleasuregate Mix,Tighten That Muscle Ring,['Hirsute Pursuit'],0.568510505,1,FALSE,0.71,0.873,11,-7.575,0,0.0652,0.000251,0.725,0.402,0.635,125.002,298747,4,2012,9/3/2012,13
2 Cups (feat. John Doe),Exile EP,"['Rizzo', 'John Doe']",0.436722074,1,TRUE,0.714,0.81,2,-7.994,1,0.0645,0.0922,0,0.12,0.792,104.99,214286,4,2013,9/17/2013,4
Men of Harlech,Zulu Dawn,['Elmer Bernstein'],0.259769401,1,FALSE,0.677,0.315,8,-11.839,1,0.0312,0.385,0,0.15,0.725,120.157,141621,4,2015,8/28/2015,11
Drowning In Doubt,We All Fall Down,['Corvus'],0.403307224,1,FALSE,0.268,0.899,2,-4.067,0,0.155,0.000334,3.07E-06,0.212,0.646,87.862,126107,3,2009,1/1/2009,1
Decending into Poverty,Single Payer Health Care,['Bernie Sanders'],0.066863103,1,FALSE,0.705,0.286,10,-19.176,1,0.898,0.835,0,0.325,0.646,131.761,119264,3,2016,3/4/2016,7
Stocking Full Of Love,Christmas Gumbo,['Marva Wright'],0.007914016,1,FALSE,0.502,0.415,0,-9.483,1,0.0447,0.408,0,0.301,0.183,126.543,257813,4,2004,2004,4
Tracy Had a Hard Day Sunday,Suburban Light (Remastered),['The Clientele'],0.779533053,1,FALSE,0.416,0.496,4,-8.25,0,0.0316,0.0218,0.000879,0.0667,0.512,133.024,287827,4,2001,4/24/2001,22
"Die Kunst der Fuge (The Art of Fugue), BWV 1080: Contrapunctus XII","Bach, J.S.: Kunst Der Fuge (Die) (The Art of Fugue), Vol. 1","['Johann Sebastian Bach', 'Wolfgang Rübsam']",0.995715528,1,FALSE,0.115,0.0201,2,-36.453,0,0.044,0.991,0.97,0.111,0.107,92.733,363307,4,1993,6/28/1993,5
Equos Fair,The Celtic Book Of Days,['David Arkenstone'],0.934946984,1,FALSE,0.621,0.638,6,-9.11,0,0.0525,0.0288,0.503,0.123,0.299,130.012,265493,4,1998,2/1/1998,1
Öt Arany dal: III. A csendes dalokból,"György Ligeti Edition, Vol. 4","['György Ligeti', 'Rosemary Hardy']",0.654916417,1,FALSE,0.636,0.0781,10,-21.93,1,0.0642,0.99,0.00463,0.112,0.587,79.628,52107,4,1996,10/14/1996,17
I'm Back,Radio,"['Ky-Mani Marley', 'Louie Rankin', 'Young Buck']",0.82239779,1,TRUE,0.598,0.791,6,-4.161,0,0.298,0.276,0,0.101,0.571,89.035,201880,4,2007,9/25/2007,1
So Long (ABBA),Cover The Earth!,['The Meatmen'],0.240923174,1,FALSE,0.495,0.94,7,-5.181,1,0.0462,0.00471,2.43E-05,0.225,0.457,149.876,211613,4,2009,6/2/2009,23
"Masses, Book 2: Missa Papae Marcelli: Missa Papae Marcelli: Kyrie",Introduction To Early Music (An),"['Giovanni Pierluigi da Palestrina', 'Oxford Camerata', 'Jeremy Summerly']",0.813263101,1,FALSE,0.164,0.191,9,-18.814,1,0.0408,0.995,0.438,0.0751,0.051,138.352,275293,3,1995,8/28/1995,16
Fall,Be / Être,"[""Malo'""]",0.256434948,1,FALSE,0.304,0.599,0,-7.249,0,0.038,0.0204,1.06E-05,0.342,0.106,112.032,222440,4,2018,2/9/2018,12
Friend's Lament,The Devil's Buttermilk,['Preacher Boy'],0.156337588,1,FALSE,0.593,0.65,7,-8.936,1,0.0376,0.225,0.000371,0.0767,0.955,87.226,212133,4,2000,1/1/2000,3
Taiyi,High Call EP,"['Cain', 'Jun Kamoda']",0.447109481,1,FALSE,0.708,0.344,7,-9.6,0,0.158,0.0252,0.749,0.0819,0.445,140.088,216000,4,2019,7/22/2019,5
Silver Dollar,Tralfamadorian Philosophy,['Bugs in Amber'],0.592423194,1,FALSE,0.425,0.589,0,-11.117,1,0.0341,0.232,0.00206,0.117,0.424,108.792,161263,4,1997,1997,5
Radio Transmission from the Large Magellanic Cloud,Throughput,['Mark Rushton'],0.137729016,1,FALSE,0.479,0.0606,11,-42.932,0,0.0628,0.979,0.95,0.116,0.26,111.994,228806,4,2018,12/21/2018,4
"Aus den kleinen Klavierstücken Op.19, 2",Auf der Rennbahn,"['Neue Wiener Concert Schrammeln', 'Valmir Ziu', 'Peter Havlicek', 'Günter Haumer', 'Peter Uhler']",0.919683501,1,FALSE,0.378,0.00262,0,-20.424,1,0.0508,0.964,0.0103,0.0799,0.0737,121.394,82147,4,2006,8/22/2006,5
Aum Shree Ram,Magical Healing Mantras,['Namaste'],0.073103562,1,FALSE,0.522,0.389,2,-11.351,1,0.0237,0.688,0,0.221,0.303,96.016,357667,4,2000,9/1/2000,4
Flower,Growth EP,['Entsounds'],0.201416403,1,FALSE,0.216,0.033,1,-31.655,1,0.054,0.392,0.851,0.115,0.0311,74.682,102613,3,2007,12/18/2007,5
"Concert Studies, Book 1: No. 3. Quasi statico",The Song I'll Never Sing: Works for Accordion,"['Kasper Rofelt', 'Bjarke Mogensen']",0.680461046,1,FALSE,0.184,0.0144,5,-25.574,1,0.0442,0.923,0.859,0.121,0.0261,116.592,301507,4,2012,5/1/2012,8
Azathoth (feat. Jody Ashworth),Dreams in the Witch House: A Lovecraftian Rock Opera,"['Dreams in the Witch House', 'Jody Ashworth']",0.164188173,1,FALSE,0.484,0.957,2,-2.213,1,0.0736,0.18,0.000899,0.0782,0.297,87.463,205253,4,2013,10/12/2013,13
Dream House: IX. Waiting,"Childs, Mary Ellen: Dream House","['Mary Ellen Childs', 'Ethel']",0.12178695,1,FALSE,0.157,0.0673,0,-24.649,1,0.0493,0.926,0.741,0.0878,0.0279,73.584,273093,3,2007,1/1/2007,9
Going Coastal,Coming Up for Air: Dawn and dusk,"['D.V.S*', 'Chantel']",0.293796061,1,FALSE,0.511,0.806,1,-8.597,1,0.0309,9.51E-05,0.839,0.0858,0.407,95.023,246520,4,2011,12/6/2011,8
Stay Away,Blues For You,['The Coupe De Villes'],0.327541469,1,FALSE,0.605,0.458,5,-12.656,0,0.054,0.732,0.00991,0.0973,0.822,106.302,286933,4,2011,4/20/2011,13
"21 Hungarian Dances, WoO 1 (arr. J. Joachim for violin and piano): No. 1 in G Minor","Violin Recital: Ragin, Wenk-Wolff – Monti, V. / Brahms, J. / Hubay, J. / Sarasate, P. De / Falla, M. De / Vladigerov, P. / Achron, J. / Bloch, E.","['Joseph Joachim', 'Johannes Brahms', 'Ragin Wenk-Wolf', 'Rohan De Silva']",0.998514884,1,FALSE,0.498,0.183,7,-13.756,0,0.0573,0.944,0.799,0.165,0.576,119.277,192960,5,1998,1/1/1998,2
A Happy Heart (Can Go for Miles) - Album Edit,A Happy Heart (Single + Remixes),['The Deltahorse'],0.693599235,1,FALSE,0.739,0.749,5,-4.942,0,0.0476,0.0382,0.55,0.583,0.876,117.991,240154,4,2016,10/1/2016,1
You've Got It Bad Girl,Following Footsteps,['Jeff Jarvis'],0.025654332,1,FALSE,0.61,0.482,7,-11.886,0,0.0277,0.0857,0.873,0.0922,0.437,108.545,249347,4,1998,9/1/1998,9
Yo Le Diré,Kilómetro 1,['Servicentro'],0.844925078,1,FALSE,0.576,0.941,0,-4.158,1,0.0425,0.000766,0.000101,0.403,0.519,105.944,188161,4,2017,5/1/2017,2
Johnny Come Lately,Ragged But Right,['The Woggles'],0.770669895,1,FALSE,0.417,0.965,9,-4.525,1,0.099,0.129,0,0.0904,0.686,153.844,177840,4,2003,2003,3
Mumbo Jumbo,The Other Side of Time,['Quin Kirchner'],0.815646411,1,FALSE,0.369,0.617,9,-10.538,0,0.0777,0.145,0.00164,0.217,0.525,106.339,315300,4,2018,1/26/2018,9
"Billy Budd, Op. 50: Act II Scene 2: Poor fellow, who could save him? (First Lieutenant, Sailing Master, Ratcliffe)",Britten: Billy Budd,"['Benjamin Britten', 'Philip Langridge', 'Simon Keenlyside', 'John Tomlinson', 'Alan Opie', 'Matthew Best', 'Alan Ewing', 'Francis Egerton', 'Quentin Hayes', 'Clive Bayley', 'Mark Padmore', 'Richard Coxon', 'Timothy DuFore', 'Christopher Keyte', 'Richard Whitehouse', 'Daniel Norman', 'Roderick Williams', 'Alex Johnston', 'London Symphony Chorus', 'Tiffin Boys Choir', 'London Symphony Orchestra', 'Richard Hickox']",0.178150608,3,FALSE,0.268,0.0162,5,-31.613,0,0.0526,0.946,1.13E-06,0.0879,0.0393,128.843,302293,1,2000,4/1/2000,12
Syncopated Jazz,Coroner's Office,['Post Mortem'],0.816793496,1,FALSE,0.229,0.964,1,-4.751,0,0.0866,7.15E-05,0.826,0.0915,0.524,184.62,37520,4,1985,1985,7
Your Hand in Mine,Condition Black,['Skyliner'],0.65884819,1,FALSE,0.432,0.967,5,-4.763,0,0.119,0.000132,0.00136,0.407,0.112,148.009,421570,4,2016,10/21/2016,11
Lakme *: Persian. Allegretto - Andante,Invitation To The Dance,"['Léo Delibes', 'Slovak Radio Symphony Orchestra', 'Ondrej Lenard']",0.638812809,1,FALSE,0.201,0.0148,4,-36.035,0,0.0452,0.852,0.757,0.0898,0.207,124.539,98840,3,1988,6/30/1988,23
Christmas On TV,Christmas,['Chris Isaak'],0.793474748,1,FALSE,0.628,0.435,9,-8.703,1,0.0301,0.378,0.0569,0.0964,0.683,115.86,138947,4,2004,10/12/2004,9
Morning Star,In The Music,['Trashcan Sinatras'],0.959584004,1,FALSE,0.533,0.736,0,-6.323,1,0.0277,0.00327,4.06E-05,0.115,0.704,114.044,233387,4,2010,4/27/2010,7
One On One,Ultimate Vibes: The Best Of,['Natural Vibrations'],0.473194227,1,FALSE,0.6,0.794,2,-9.196,1,0.0993,0.596,0.000516,0.102,0.833,165.839,243787,4,2009,1/1/2009,16
La comète (Version longue),Il me parle de bonheur,['Les Colocs'],0.675022678,1,FALSE,0.569,0.871,4,-7.04,1,0.116,0.441,0.00206,0.0726,0.585,107.717,684120,4,2009,8/3/2009,2
You Beat All I've Ever Seen,What You Leave Behind,['Ricochet'],0.227179793,1,FALSE,0.64,0.542,6,-8.431,1,0.0284,0.0149,0,0.0585,0.553,137.042,219533,4,1998,1998,10
A Second Too Late,Buried Underneath the Lies,['Archons'],0.933933757,1,FALSE,0.407,0.985,0,-3.438,1,0.0988,4.58E-06,0,0.287,0.127,92.528,227957,4,2019,4/26/2019,5
Suite infantil No. 1: II. Nene vai dormir,"Villa-Lobos, H.: Piano Music, Vol. 8 (Rubinsky) - Guia Pratico, Books 10, 11 / Suites Infantil Nos. 1, 2 / Guia Pratico, Vol. 1 (Excerpts)","['Heitor Villa-Lobos', 'Sonia Rubinsky']",0.012351092,1,FALSE,0.292,0.00538,4,-34.161,0,0.0424,0.996,0.922,0.0698,0.0789,64.078,155760,3,2008,12/16/2008,15
Tara's Theme - From 'Gone With The Wind',Songs Of The South,['Jim Gibson'],0.230217726,1,FALSE,0.244,0.101,7,-17.192,1,0.0612,0.991,0.945,0.0883,0.158,199.419,260187,4,1996,1996,1
Christopher Thomas,Welcome To Andyland,['Andy Z'],0.600764256,1,FALSE,0.497,0.255,0,-14.508,1,0.0553,0.989,0.937,0.118,0.625,118.956,80867,4,2003,11/29/2003,12
Payday Slag,Hang My Picture,['Tamara and the Martyrs'],0.131307559,1,FALSE,0.445,0.553,11,-7.232,0,0.0513,0.000887,0,0.0704,0.691,131.486,217093,4,2011,6/1/2011,1
Duck Shoes Rag,Land Of The Sky,['Down Trodden String Band'],0.741871734,1,FALSE,0.727,0.535,5,-5.833,1,0.0447,0.796,0.204,0.328,0.856,87.471,139227,4,2008,2/19/2008,4
IV,Bedehuis,['Ossaert'],0.982357994,1,FALSE,0.216,0.931,2,-7.786,1,0.0533,3.96E-06,0.835,0.339,0.0266,150.196,570613,4,2020,2/14/2020,4
Darling,Where the Heart Goes,['Chris Hurst'],0.684984252,1,FALSE,0.663,0.0794,4,-17.629,1,0.0407,0.597,0,0.0708,0.417,100.754,173786,4,2017,10/17/2017,10
If You Never Fall In Love With Me,Get Happy,"['Todd Johnson', 'Kristin Korb']",0.780150994,1,FALSE,0.561,0.323,0,-11.438,0,0.0336,0.793,0.000222,0.109,0.569,175.055,262227,4,2004,2004,4
No Place Like Home,Revolution,['DJ Trashy'],0.283927741,1,FALSE,0.669,0.958,1,-7.494,0,0.0623,0.00539,0,0.064,0.65,138.04,375653,4,2007,7/7/2007,9
I'm A Mess,Comin' From Where I'm From,['Anthony Hamilton'],0.356070693,1,FALSE,0.494,0.534,10,-5.827,0,0.317,0.132,0,0.353,0.548,144.165,264120,3,2003,7/15/2003,5
Don't Forget Where U Goin' - Explicit Album Version,RBG: revolutionary but gangsta,['Dead Prez'],0.638196503,1,TRUE,0.702,0.421,11,-12.74,0,0.0517,0.299,0.000765,0.0854,0.39,79.983,125960,4,2004,3/30/2004,11
